Category,Product,Sales,Quarter
Beverages,Chai,$705.60,Qtr 1
Beverages,Chai,$878.40,Qtr 2
Beverages,Chai,"$1,174.50",Qtr 3
Beverages,Chai,"$2,128.50",Qtr 4
Beverages,Chang,"$2,720.80",Qtr 1
Beverages,Chang,$228.00,Qtr 2
Beverages,Chang,"$2,061.50",Qtr 3
Beverages,Chang,"$2,028.25",Qtr 4
Beverages,Chartreuse verte,$590.40,Qtr 1
Beverages,Chartreuse verte,$360.00,Qtr 2
Beverages,Chartreuse verte,"$1,100.70",Qtr 3
Beverages,Chartreuse verte,"$2,424.60",Qtr 4
Beverages,Côte de Blaye,"$25,127.36",Qtr 1
Beverages,Côte de Blaye,"$12,806.10",Qtr 2
Beverages,Côte de Blaye,"$7,312.12",Qtr 3
Beverages,Côte de Blaye,"$1,317.50",Qtr 4
Beverages,Guaraná Fantástica,$529.20,Qtr 1
Beverages,Guaraná Fantástica,$467.55,Qtr 2
Beverages,Guaraná Fantástica,$219.37,Qtr 3
Beverages,Guaraná Fantástica,$337.50,Qtr 4
Beverages,Ipoh Coffee,"$1,398.40",Qtr 1
Beverages,Ipoh Coffee,"$4,496.50",Qtr 2
Beverages,Ipoh Coffee,"$1,196.00",Qtr 3
Beverages,Ipoh Coffee,"$3,979.00",Qtr 4
Beverages,Lakkalikööri,"$1,141.92",Qtr 1
Beverages,Lakkalikööri,"$1,774.08",Qtr 2
Beverages,Lakkalikööri,"$3,261.60",Qtr 3
Beverages,Lakkalikööri,"$1,705.50",Qtr 4
Beverages,Laughing Lumberjack Lager,$518.00,Qtr 2
Beverages,Laughing Lumberjack Lager,$350.00,Qtr 3
Beverages,Laughing Lumberjack Lager,$42.00,Qtr 4
Beverages,Outback Lager,"$1,508.40",Qtr 1
Beverages,Outback Lager,$384.00,Qtr 2
Beverages,Outback Lager,"$1,252.50",Qtr 3
Beverages,Outback Lager,"$2,683.50",Qtr 4
Beverages,Rhönbräu Klosterbier,$214.52,Qtr 1
Beverages,Rhönbräu Klosterbier,"$1,508.92",Qtr 2
Beverages,Rhönbräu Klosterbier,"$1,233.80",Qtr 3
Beverages,Rhönbräu Klosterbier,"$1,233.80",Qtr 4
Beverages,Sasquatch Ale,$179.20,Qtr 1
Beverages,Sasquatch Ale,"$1,037.40",Qtr 2
Beverages,Sasquatch Ale,$750.40,Qtr 4
Beverages,Steeleye Stout,"$1,742.40",Qtr 1
Beverages,Steeleye Stout,"$1,008.00",Qtr 2
Beverages,Steeleye Stout,"$1,683.00",Qtr 3
Beverages,Steeleye Stout,"$1,273.50",Qtr 4
Condiments,Aniseed Syrup,$544.00,Qtr 1
Condiments,Aniseed Syrup,$600.00,Qtr 2
Condiments,Aniseed Syrup,$140.00,Qtr 3
Condiments,Aniseed Syrup,$440.00,Qtr 4
Condiments,Chef Anton's Cajun Seasoning,$225.28,Qtr 1
Condiments,Chef Anton's Cajun Seasoning,"$2,970.00",Qtr 2
Condiments,Chef Anton's Cajun Seasoning,"$1,337.60",Qtr 3
Condiments,Chef Anton's Cajun Seasoning,$682.00,Qtr 4
Condiments,Chef Anton's Gumbo Mix,$288.22,Qtr 3
Condiments,Chef Anton's Gumbo Mix,$85.40,Qtr 4
Condiments,Genen Shouyu,$176.70,Qtr 2
Condiments,Genen Shouyu,"$1,298.12",Qtr 3
Condiments,Grandma's Boysenberry Spread,"$1,750.00",Qtr 3
Condiments,Grandma's Boysenberry Spread,$750.00,Qtr 4
Condiments,Gula Malacca,"$1,994.85",Qtr 1
Condiments,Gula Malacca,"$1,753.62",Qtr 2
Condiments,Gula Malacca,"$1,093.09",Qtr 3
Condiments,Gula Malacca,"$1,701.87",Qtr 4
Condiments,Louisiana Fiery Hot Pepper Sauce,"$1,347.36",Qtr 1
Condiments,Louisiana Fiery Hot Pepper Sauce,"$2,150.77",Qtr 2
Condiments,Louisiana Fiery Hot Pepper Sauce,"$1,975.54",Qtr 3
Condiments,Louisiana Fiery Hot Pepper Sauce,"$3,857.41",Qtr 4
Condiments,Louisiana Hot Spiced Okra,$816.00,Qtr 1
Condiments,Louisiana Hot Spiced Okra,"$1,224.00",Qtr 2
Condiments,Louisiana Hot Spiced Okra,$918.00,Qtr 4
Condiments,Northwoods Cranberry Sauce,"$1,300.00",Qtr 2
Condiments,Northwoods Cranberry Sauce,"$2,960.00",Qtr 4
Condiments,Original Frankfurter grüne Soße,"$1,112.80",Qtr 1
Condiments,Original Frankfurter grüne Soße,"$1,027.78",Qtr 2
Condiments,Original Frankfurter grüne Soße,"$2,255.50",Qtr 3
Condiments,Original Frankfurter grüne Soße,$510.90,Qtr 4
Condiments,Sirop d'érable,"$2,679.00",Qtr 1
Condiments,Sirop d'érable,"$1,881.00",Qtr 2
Condiments,Sirop d'érable,"$3,021.00",Qtr 3
Condiments,Sirop d'érable,"$1,510.50",Qtr 4
Condiments,Vegie-spread,"$3,202.87",Qtr 1
Condiments,Vegie-spread,$263.40,Qtr 2
Condiments,Vegie-spread,$842.88,Qtr 3
Condiments,Vegie-spread,"$2,590.10",Qtr 4
Confections,Chocolade,$744.60,Qtr 1
Confections,Chocolade,$162.56,Qtr 2
Confections,Chocolade,$68.85,Qtr 3
Confections,Chocolade,$306.00,Qtr 4
Confections,Gumbär Gummibärchen,"$5,079.60",Qtr 1
Confections,Gumbär Gummibärchen,"$1,249.20",Qtr 2
Confections,Gumbär Gummibärchen,"$2,061.17",Qtr 3
Confections,Gumbär Gummibärchen,"$2,835.68",Qtr 4
Confections,Maxilaku,"$1,605.60",Qtr 1
Confections,Maxilaku,$620.00,Qtr 2
Confections,Maxilaku,$835.00,Qtr 3
Confections,NuNuCa Nuß-Nougat-Creme,$193.20,Qtr 1
Confections,NuNuCa Nuß-Nougat-Creme,$865.20,Qtr 2
Confections,NuNuCa Nuß-Nougat-Creme,$493.50,Qtr 4
Confections,Pavlova,"$1,685.36",Qtr 1
Confections,Pavlova,"$2,646.08",Qtr 2
Confections,Pavlova,"$1,849.70",Qtr 3
Confections,Pavlova,$999.01,Qtr 4
Confections,Schoggi Schokolade,"$1,755.00",Qtr 1
Confections,Schoggi Schokolade,"$5,268.00",Qtr 2
Confections,Schoggi Schokolade,"$2,195.00",Qtr 3
Confections,Schoggi Schokolade,"$1,756.00",Qtr 4
Confections,Scottish Longbreads,"$1,267.50",Qtr 1
Confections,Scottish Longbreads,"$1,062.50",Qtr 2
Confections,Scottish Longbreads,$492.50,Qtr 3
Confections,Scottish Longbreads,"$1,935.00",Qtr 4
Confections,Sir Rodney's Marmalade,"$4,252.50",Qtr 2
Confections,Sir Rodney's Marmalade,"$1,360.80",Qtr 3
Confections,Sir Rodney's Marmalade,"$1,701.00",Qtr 4
Confections,Sir Rodney's Scones,"$1,418.00",Qtr 1
Confections,Sir Rodney's Scones,$756.00,Qtr 2
Confections,Sir Rodney's Scones,"$1,733.00",Qtr 3
Confections,Sir Rodney's Scones,"$1,434.00",Qtr 4
Confections,Tarte au sucre,"$4,728.00",Qtr 1
Confections,Tarte au sucre,"$4,547.92",Qtr 2
Confections,Tarte au sucre,"$5,472.30",Qtr 3
Confections,Tarte au sucre,"$6,014.60",Qtr 4
Confections,Teatime Chocolate Biscuits,$943.89,Qtr 1
